household_ID,member_ID,age,relationship_to_the_head_of_household,gender,ethnicity,religion,marital_status,current_attendance_in_any_education_instituition,highest_level_of_education,main_activity_engaged_in,main_occupation,daily_wage_owner_or_not,employment_status_of_the_main_occupation,no_of_hours_stayed_at_home_during_last_week,member_went_out_for_work_or_not_during_last_week
ID3632,I4,16,Son/daughter,Female,Sinhala,Other Christian denominations,Never married,School,Passed G.C.E.(O/L),Student,,,,84.0,
ID3633,I1,57,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Government employee,108.0,
ID3633,I2,55,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Government employee,108.0,
ID3633,I3,24,Son/daughter,Male,Sinhala,Buddhism,Never married,University,Passed G.C.E.(A/L) or equivalent,Student,,,,120.0,
ID3633,I4,22,Son/daughter,Male,Sinhala,Buddhism,Never married,University,Passed G.C.E.(A/L) or equivalent,Student,,,,120.0,
ID3634,I1,77,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,168.0,
ID3634,I2,64,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID3635,I1,36,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed post Graduate Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,158.0,
ID3635,I2,35,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed post Graduate Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,98.0,
ID3635,I3,7,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 3,,,,,112.0,
ID3635,I4,4,Son/daughter,Female,Sinhala,Buddhism,Never married,School,,,,,,112.0,
ID3635,I5,1,Son/daughter,Male,Sinhala,Buddhism,Never married,,,,,,,168.0,
ID3636,I1,44,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Government employee,110.0,
ID3636,I2,44,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Government employee,84.0,
ID3636,I3,18,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 10,Student,,,,110.0,
ID3636,I4,9,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 4,,,,,110.0,
ID3637,I1,58,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 9,Engaged in economic activity/ currently employed/ engaged in own business,Clerk,No,Government employee,128.0,
ID3637,I2,25,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,128.0,
ID3637,I3,23,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Craft and related worker,No,Private sector employee,72.0,
ID3637,I4,63,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,21.0,
ID3638,I1,40,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,110.0,
ID3638,I2,42,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,120.0,
ID3638,I3,19,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed G.C.E.(A/L) or equivalent,Student,,,,168.0,
ID3638,I4,12,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 8,Student,,,,90.0,
ID3639,I1,74,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 8,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Professional,No,Government employee,168.0,
ID3639,I2,68,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID3639,I3,34,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,100.0,
ID3640,I1,74,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Private sector employee,135.0,
ID3640,I2,71,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID3640,I3,38,Other relative,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,84.0,
ID3641,I1,44,Head of the household,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,100.0,
ID3641,I2,43,Wife/Husband,Male,Sinhala,No religion,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,0.0,
ID3642,I1,49,Boarder,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,70.0,
ID3642,I2,19,Boarder,Male,Sinhala,Buddhism,Never married,University,Passed G.C.E.(A/L) or equivalent,Student,,,,70.0,
ID3643,I1,39,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Government employee,84.0,
ID3643,I2,35,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID3643,I3,67,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID3643,I4,10,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 5,,,,,84.0,
ID3643,I5,7,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 2,,,,,96.0,
ID3643,I6,2,Son/daughter,Male,Sinhala,Buddhism,Never married,,,,,,,148.0,
ID3644,I1,44,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 9,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,105.0,
ID3644,I2,41,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID3645,I1,63,Head of the household,Female,Sinhala,Other Christian denominations,Widowed,Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID3645,I2,38,Other relative,Male,Sinhala,Other Christian denominations,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,98.0,
ID3645,I3,38,Other relative,Female,Sinhala,Other Christian denominations,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,100.0,
ID3645,I4,30,Other relative,Male,Sinhala,Other Christian denominations,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,100.0,
ID3646,I1,47,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,130.0,
ID3646,I2,41,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID3646,I3,20,Son/daughter,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,120.0,
ID3646,I4,24,Son/daughter,Female,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,168.0,
ID3646,I5,20,Son-in-law/Daughter in law,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID3646,I6,1,Grandson/ Granddaughter,Female,Sinhala,Buddhism,Never married,,,,,,,168.0,
ID3647,I1,48,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,108.0,
ID3647,I2,43,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,108.0,
ID3647,I3,12,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 7,Student,,,,124.0,
ID3647,I4,10,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 5,,,,,124.0,
ID3647,I5,8,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 6,,,,,124.0,
ID3647,I6,60,Domestic servant/driver/watcher,Female,Sri Lankan Tamil,Hinduism,Currently married (registered),Does not attend,Passed Grade 7,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,No,Contributing family worker,168.0,
ID3648,I1,65,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,168.0,
ID3648,I2,65,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID3648,I3,31,Son/daughter,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Employer,80.0,
ID3648,I4,31,Son-in-law/Daughter in law,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID3648,I5,4,Grandson/ Granddaughter,Male,Sinhala,Buddhism,Never married,Preschool,,,,,,108.0,
ID3648,I6,4,Grandson/ Granddaughter,Female,Sinhala,Buddhism,Never married,Preschool,,,,,,108.0,
ID3648,I7,0,Grandson/ Granddaughter,Male,Sinhala,Buddhism,Never married,,,,,,,168.0,
ID3649,I1,36,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Clerk,No,Private sector employee,74.0,
ID3649,I2,31,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Still a toddler,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Clerk,No,Private sector employee,74.0,
ID3649,I3,8,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 3,,,,,74.0,
ID3649,I4,0,Son/daughter,Female,Sinhala,Buddhism,Never married,,,,,,,74.0,
ID3650,I1,68,Head of the household,Female,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 9,Household activities,,,,164.0,
ID3651,I1,48,Head of the household,Male,Sinhala,Roman Catholicism,Currently married (registered),Still a toddler,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Private sector employee,93.0,
ID3651,I2,45,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Private sector employee,93.0,
ID3651,I3,76,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed G.C.E.(A/L) or equivalent,Too old / Disable/ unable to work,,,,168.0,
ID3651,I4,19,Son/daughter,Male,Sinhala,Roman Catholicism,Never married,School,Passed Grade 12,Student,,,,93.0,
ID3651,I5,15,Son/daughter,Female,Sinhala,Roman Catholicism,Never married,School,Passed Grade 9,Student,,,,133.0,
ID3652,I1,42,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Private sector employee,98.0,
ID3652,I2,41,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Household activities,,,,165.0,
ID3652,I3,12,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 8,Student,,,,154.0,
ID3652,I4,7,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 3,,,,,156.0,
ID3653,I1,85,Head of the household,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 10,Too old / Disable/ unable to work,,,,168.0,
ID3653,I2,51,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,98.0,
ID3653,I3,14,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 10,Student,,,,120.0,
ID3654,I1,43,Head of the household,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 8,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,147.0,
ID3654,I2,23,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,No,Private sector employee,96.0,
ID3655,I1,46,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,118.0,
ID3655,I2,45,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID3655,I3,14,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 9,Student,,,,128.0,
ID3655,I4,10,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 5,,,,,128.0,
ID3656,I1,54,Head of the household,Male,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,168.0,
ID3656,I2,49,Wife/Husband,Male,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID3657,I1,42,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,80.0,
ID3657,I2,40,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID3657,I3,18,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 12,Student,,,,105.0,
ID3658,I1,55,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,128.0,
ID3658,I2,56,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 12,Household activities,,,,128.0,
ID3658,I3,7,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 3,,,,,128.0,
ID3659,I1,63,Head of the household,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 8,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Government employee,168.0,
ID3659,I2,39,Son/daughter,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 10,Household activities,,,,167.0,
ID3659,I3,38,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,Yes,Own account worker,102.0,
ID3659,I4,11,Grandson/ Granddaughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 6,,,,,160.0,
ID3659,I5,17,Grandson/ Granddaughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,6.0,
ID3660,I1,47,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Semi government employee,108.0,
ID3660,I2,46,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Semi government employee,108.0,
ID3660,I3,16,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed G.C.E.(O/L),Student,,,,125.0,
ID3660,I4,14,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 9,Student,,,,125.0,
ID3661,I1,50,Head of the household,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID3661,I2,24,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,No occupation,No,Private sector employee,160.0,
ID3661,I3,20,Son/daughter,Male,Sinhala,Buddhism,Never married,University,Passed G.C.E.(A/L) or equivalent,Student,,,,48.0,
ID3661,I4,13,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 8,Student,,,,110.0,
ID3662,I1,48,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,108.0,
ID3662,I2,45,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Household activities,,,,168.0,
ID3662,I3,73,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID3662,I4,15,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed G.C.E.(O/L),Student,,,,125.0,
ID3662,I5,57,Domestic servant/driver/watcher,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID3663,I1,45,Head of the household,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed post Graduate Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Government employee,95.0,
ID3663,I2,45,Wife/Husband,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,PhD,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Government employee,95.0,
ID3663,I3,14,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 9,Student,,,,110.0,
ID3663,I4,11,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 7,,,,,110.0,
ID3663,I5,64,Other relative,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed G.C.E.(O/L),Too old / Disable/ unable to work,,,,168.0,
ID3664,I1,77,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Received other pension payments,,,,168.0,
ID3664,I2,68,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,160.0,
ID3665,I1,47,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,105.0,
ID3665,I2,37,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID3665,I3,18,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 12,Student,,,,120.0,
ID3665,I4,10,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 6,,,,,130.0,
ID3665,I5,4,Son/daughter,Male,Sinhala,Buddhism,Never married,Preschool,,,,,,140.0,
ID3666,I1,31,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Own account worker,108.0,"No, worked from home"
ID3666,I2,24,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID3666,I3,1,Son/daughter,Male,Sinhala,Buddhism,Never married,,,,,,,168.0,
ID3667,I1,34,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,96.0,
ID3667,I2,30,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID3667,I3,61,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID3667,I4,70,Parents of the head of the Household/ spouse,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID3667,I5,3,Son/daughter,Male,Sinhala,Buddhism,Never married,Preschool,,,,,,138.0,
ID3668,I1,49,Head of the household,Male,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Private sector employee,60.0,
ID3668,I2,47,Wife/Husband,Female,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Private sector employee,60.0,
ID3668,I3,17,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed G.C.E.(A/L) or equivalent,Student,,,,60.0,
ID3668,I4,10,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 7,,,,,60.0,
ID3669,I1,36,Head of the household,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,Yes,Employer,0.0,
ID3669,I2,28,Boarder,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,84.0,
ID3669,I3,16,Boarder,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,84.0,
ID3669,I4,21,Boarder,Male,Sri Lankan Tamil,Hinduism,Never married,Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,84.0,
ID3669,I5,25,Boarder,Male,Sri Lankan Tamil,Other Christian denominations,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,84.0,
ID3669,I6,36,Boarder,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,Yes,Private sector employee,80.0,
ID3669,I7,33,Boarder,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,Yes,Private sector employee,80.0,
ID3669,I8,34,Boarder,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,No,Private sector employee,84.0,
ID3669,I9,42,Boarder,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,84.0,
ID3670,I1,30,Head of the household,Female,Sinhala,Roman Catholicism,Widowed,Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Private sector employee,0.0,
ID3670,I2,54,Parents of the head of the Household/ spouse,Male,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Passed Grade 12,Household activities,,,,153.5,
ID3670,I3,28,Son/daughter,Female,Sinhala,Roman Catholicism,Currently married (registered),Does not attend,Passed Grade 12,Household activities,,,,153.5,
ID3670,I4,25,Son/daughter,Male,Sinhala,Roman Catholicism,Never married,Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Clerk,No,Private sector employee,0.0,
ID3670,I5,2,Grandson/ Granddaughter,Female,Sinhala,Roman Catholicism,Never married,,,,,,,153.5,
ID3671,I1,66,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,140.0,
ID3671,I2,62,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,166.0,
ID3671,I3,35,Son/daughter,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Plant and machine operator and assembler,No,Own account worker,2.0,
ID3671,I4,34,Son/daughter,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Semi government employee,1.0,
ID3671,I5,33,Son-in-law/Daughter in law,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Clerk,No,Private sector employee,1.0,
ID3671,I6,30,Son-in-law/Daughter in law,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,2.0,
ID3672,I1,38,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,97.5,
ID3672,I2,54,Parents of the head of the Household/ spouse,Male,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 10,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,168.0,
ID3672,I3,35,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,"Legislator, senior official, and manager",No,Government employee,113.0,
