household_ID,no_of_electricity_meters,electricity_provider_csc_area,own_the_house_or_living_on_rent,occupy_renters_boarders,awareness_of_electricity_consumption_of_renters,built_year_of_the_house,type_of_house,floor_which_house_located,no_of_storeys,floor_area,no_of_household_members,charging_method_of_renters_for_electricity,charged_method_for_rent_for_electricity,is_there_business_carried_out_in_the_household,type_of_business,whom_or_how_the_house_was_designed,availability_of_certificate_of_compliance,main_material_used_for_walls_of_the_house,main_material_used_for_roof_of_the_house,any_constructions_or_renovations_in_the_household,highest_level_of_education_of_the_chief_wage_earner,occupation_of_the_chief_wage_earner,socio_economic_class,total_monthly_expenditure_of_last_month,type_of_electricity_meter
ID3330,1,NUGEGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,800.0,3,,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,1-9 Employed,SEC B,60000.0,Non smart meter
ID3331,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1000.0,4,,,No,,,,Cement Block,,No,Diploma with O/L or A/L (Non graduate),Junior executive / Executive,SEC B,100000.0,Non smart meter
ID3332,1,KANDANA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Double Floor,,,2000.0,3,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Self employed (Professional) - No employees,SEC B,100000.0,Smart meter
ID3333,1,DALUGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1000.0,5,,,No,,,,Brick,,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,150000.0,Non smart meter
ID3334,1,DALUGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,400.0,4,,,No,,,,Cement Block,,Yes,O/L or A/L pending / Passed,Skilled Worker,SEC C,50000.0,Non smart meter
ID3335,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,200.0,1,,,No,,,,Cement Block,,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Junior executive / Executive,SEC A,50000.0,Non smart meter
ID3336,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,800.0,4,,,No,,,,Brick,,No,Diploma with O/L or A/L (Non graduate),Unskilled Worker,SEC D,50000.0,Non smart meter
ID3337,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,650.0,2,,,No,,,,Cement Block,,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Skilled Worker,SEC B,50000.0,Non smart meter
ID3338,1,DALUGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,500.0,4,,,Yes,A shop,,,Pressed soil blocks,,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,60000.0,Smart meter
ID3339,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - More than 2 floors,,3.0,2000.0,5,,,No,,,,Brick,,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,30000.0,Smart meter
ID3340,1,DALUGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1000.0,2,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,80000.0,Non smart meter
ID3341,1,NUGEGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1500.0,3,,,No,,,,Cabook,,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,100000.0,Non smart meter
ID3342,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,285.0,6,,,No,,,,Cement Block,,No,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,80000.0,Smart meter
ID3343,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,3200.0,2,,,No,,,,Brick,,No,Graduate / Post-Grads / Degree level professional qualification,Clerk / Salesman grades,SEC B,80000.0,Smart meter
ID3344,2,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,2800.0,4,,,No,,,,Brick,,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,,Smart meter
ID3345,1,MORATUWA NORTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Double Floor,,,2400.0,3,,You pay the full amount of the electricity bill.,No,,,,I am not aware of that,,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,80000.0,Non smart meter
ID3346,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,3600.0,3,,,Yes,A shop,,,Cement Block,,No,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,50000.0,Smart meter
ID3347,1,MORATUWA NORTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,3000.0,3,,You pay the full amount of the electricity bill.,No,,,,I am not aware of that,,No,O/L or A/L pending / Passed,Middle and Senior executive,SEC B,70000.0,Smart meter
ID3348,3,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1600.0,5,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,60000.0,Smart meter
ID3349,1,MORATUWA NORTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Double Floor,,,2500.0,4,,You pay the full amount of the electricity bill.,No,,,,Cement Block,,No,Schooling up to Grade 6 - 9,Self employed (Professional) - No employees,SEC D,75000.0,Smart meter
ID3350,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,2400.0,4,,,No,,,,Brick,,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,50000.0,Non smart meter
ID3351,1,MORATUWA NORTH,"No, I or any household member does not own or rent this household. We occupy this household without any payment of rent.",,,2010-2019,Single House - Double Floor,,,4200.0,4,,You don't pay the owner for electricity consumption.,No,,,,Brick,,No,O/L or A/L pending / Passed,Junior executive / Executive,SEC B,100000.0,Smart meter
ID3352,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,2400.0,3,,,No,,,,Cabook,,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,60000.0,Smart meter
ID3353,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,766.0,3,,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,Supervisor grades,SEC C,65000.0,Smart meter
ID3354,2,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,2400.0,3,,,No,,,,Cement Block,,No,Schooling up to Grade 6 - 9,Self employed (Professional) - No employees,SEC D,100000.0,Smart meter
ID3355,1,MORATUWA NORTH,"Yes, I or a household member owns it.",Boarders who live in your house using a room/s that is attached to your living conditions.,"I know all the details about the electricity consumption of the renters/ boarders; i.e.; the appliances they use and the number of hours they use each appliance, the times they keep the lights and fans switched on etc.",Before 1980,Single House - Single Floor,,,1000.0,3,You charge a fixed amount every month for electricity.,,No,,,,Cabook,,No,Schooling up to Grade 6 - 9,Self employed (Professional) - No employees,SEC D,33000.0,Smart meter
ID3356,2,MORATUWA NORTH,"No, I or any household member does not own or rent this household. We occupy this household without any payment of rent.",,,2000-2009,Single House - Double Floor,,,2000.0,2,,You don't pay the owner for electricity consumption.,No,,,,Brick,,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,30000.0,Smart meter
ID3357,1,MORATUWA NORTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,2000.0,3,,You pay the full amount of the electricity bill.,No,,,,Cement Block,,No,Schooling up to Grade 6 - 9,1-9 Employed,SEC B,100000.0,Smart meter
ID3358,1,MORATUWA NORTH,"Yes, I or a household member owns it.","Renters / boarders who are living in your annexe or any other attached place, maintaining separate living conditions but share the same electricity meter.","I know all the details about the electricity consumption of the renters/ boarders; i.e.; the appliances they use and the number of hours they use each appliance, the times they keep the lights and fans switched on etc.",Before 1980,Single House - Single Floor,,,3600.0,6,"You don't charge a specific amount for electricity but charge a fixed amount for all the utilities such as electricity, water etc.",,No,,,,Brick,,No,Diploma with O/L or A/L (Non graduate),Clerk / Salesman grades,SEC B,45000.0,Smart meter
ID3359,3,MORATUWA NORTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - More than 2 floors,,1.0,2400.0,5,,You pay the full amount of the electricity bill.,No,,,,I am not aware of that,,No,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,90000.0,Smart meter
ID3360,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,3600.0,3,,,No,,,,Brick,,No,Graduate / Post-Grads / Degree level professional qualification,Junior executive / Executive,SEC A,80000.0,Smart meter
ID3361,2,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,450.0,4,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,75000.0,Smart meter
ID3362,2,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Double Floor,,,3000.0,6,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,100000.0,Smart meter
ID3363,2,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Double Floor,,,4000.0,5,,,No,,,,Brick,,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,100000.0,Smart meter
ID3364,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,950.0,5,,,No,,,,Cement Block,,No,Primary Education,Self employed (Professional) - No employees,SEC D,80000.0,Smart meter
ID3365,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,350.0,2,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,70000.0,Smart meter
ID3366,2,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Double Floor,,,3600.0,4,,,No,,,,Brick,,No,Graduate / Post-Grads / Degree level professional qualification,1-9 Employed,SEC A,50000.0,Smart meter
ID3367,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,500.0,6,,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,70000.0,Smart meter
ID3368,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,2500.0,5,,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,Supervisor grades,SEC C,75000.0,Non smart meter
ID3369,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - More than 2 floors,,5.0,1200.0,4,,,No,,,,Cement Block,,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,60000.0,Smart meter
ID3370,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,2500.0,2,,,No,,,,Brick,,No,Schooling up to Grade 6 - 9,Self employed (Professional) - No employees,SEC D,35000.0,Non smart meter
ID3371,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,750.0,7,,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,50000.0,Non smart meter
ID3372,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,750.0,2,,,No,,,,Cement Block,,No,Primary Education,Small Businessman / Self employed (Non professional),SEC D,35000.0,Smart meter
ID3373,1,KOTIKAWATTA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,2550.0,2,,"You don't pay a specific amount for electricity, but pay a fixed amount for all the utilities such as electricity, water etc.",No,,,,Stones/Cube stones,,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,50000.0,Smart meter
ID3374,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,900.0,2,,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,Manager / Professional,SEC B,90000.0,Smart meter
ID3375,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,900.0,8,,,No,,,,Cabook,,No,O/L or A/L pending / Passed,1-9 Employed,SEC B,50000.0,Non smart meter
ID3376,1,PANADURA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,2300.0,9,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,30000.0,Smart meter
ID3377,1,PANADURA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Single Floor,,,676.0,2,,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,15000.0,Smart meter
ID3378,1,PANADURA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,1080.0,4,,You pay the full amount of the electricity bill.,Yes,Other,,,Cement Block,,No,Schooling up to Grade 6 - 9,Self employed (Professional) - No employees,SEC D,60000.0,Smart meter
ID3379,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,1800.0,4,,,No,,,,Cement Block,,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,150000.0,Smart meter
ID3380,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,1200.0,5,,,No,,,,Cement Block,,No,Diploma with O/L or A/L (Non graduate),Self employed (Professional) - No employees,SEC B,40000.0,Non smart meter
ID3381,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,250.0,4,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,40000.0,Smart meter
ID3382,1,MORATUWA SOUTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,2400.0,3,,You pay the full amount of the electricity bill.,No,,,,Brick,,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,50000.0,Smart meter
ID3383,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,850.0,4,,,No,,,,Brick,,No,Diploma with O/L or A/L (Non graduate),Supervisor grades,SEC B,75000.0,Smart meter
ID3384,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Single Floor,,,800.0,2,,,No,,,,Cement Block,,Yes,Diploma with O/L or A/L (Non graduate),Skilled Worker,SEC C,50000.0,Smart meter
ID3385,1,PAYAGALA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,2400.0,6,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,50000.0,Smart meter
ID3386,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,800.0,3,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Junior executive / Executive,SEC B,60000.0,Non smart meter
ID3387,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,1900.0,3,,,No,,,,Brick,,No,Diploma with O/L or A/L (Non graduate),Boutique owner,SEC B,100000.0,Smart meter
ID3388,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,1000.0,7,,,No,,,,Cement Block,,No,Diploma with O/L or A/L (Non graduate),Skilled Worker,SEC C,150000.0,Non smart meter
ID3389,1,PANADURA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,2912.0,2,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Junior executive / Executive,SEC B,38000.0,Smart meter
ID3390,1,MORATUWA NORTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - More than 2 floors,,1.0,2800.0,4,,You pay the full amount of the electricity bill.,No,,,,I am not aware of that,,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,80000.0,Smart meter
ID3391,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,850.0,5,,,No,,,,Cement Block,,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Skilled Worker,SEC B,100000.0,Non smart meter
ID3392,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,3000.0,4,,,No,,,,I am not aware of that,,No,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,,Non smart meter
ID3393,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,3000.0,3,,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,100000.0,Non smart meter
ID3394,1,WATTALA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,2722.5,2,,,No,,,,Brick,,No,Diploma with O/L or A/L (Non graduate),Small Businessman / Self employed (Non professional),SEC C,100000.0,Smart meter
ID3395,1,WATTALA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,4000.0,4,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,50000.0,Smart meter
ID3396,1,WATTALA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,1905.0,2,,,No,,,,Brick,,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Small Businessman / Self employed (Non professional),SEC B,40000.0,Non smart meter
ID3397,1,WATTALA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,1905.0,6,,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,80000.0,Non smart meter
ID3398,1,MORATUWA NORTH,"Yes, I or a household member owns it.","Renters / boarders who are living in your annexe or any other attached place, maintaining separate living conditions but share the same electricity meter.","I know all the details about the electricity consumption of the renters/ boarders; i.e.; the appliances they use and the number of hours they use each appliance, the times they keep the lights and fans switched on etc.",1980-1989,Single House - Single Floor,,,3000.0,6,You charge an amount for electricity depending on the variance of the bill.,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,45000.0,Non smart meter
ID3399,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Double Floor,,,4000.0,5,,,No,,,,Brick,,No,Diploma with O/L or A/L (Non graduate),Self employed (Professional) - No employees,SEC B,200000.0,Smart meter
ID3400,2,MORATUWA NORTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Double Floor,,,3000.0,5,,You pay the full amount of the electricity bill.,No,,,,I am not aware of that,,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,75000.0,Smart meter
ID3401,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,2000.0,5,,,No,,,,Cabook,,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,10000.0,Smart meter
ID3402,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,2000.0,3,,,No,,,,Cement Block,,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,70000.0,Smart meter
ID3403,1,WATTALA,"No, I am living on rent and the rent is paid by me or a household member.",,,2000-2009,Single House - Double Floor,,,1605.0,5,,You pay the full amount of the electricity bill.,No,,,,Brick,,No,Diploma with O/L or A/L (Non graduate),Supervisor grades,SEC B,50000.0,Non smart meter
ID3404,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - More than 2 floors,,3.0,3000.0,4,,,No,,,,Cement Block,,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,60000.0,Non smart meter
ID3405,1,PANADURA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - More than 2 floors,,3.0,1890.0,4,,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,Supervisor grades,SEC C,150000.0,Smart meter
ID3406,1,PANADURA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,1064.0,4,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Middle and Senior executive,SEC B,80000.0,Smart meter
ID3407,1,PANADURA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,240.0,2,,,No,,,,Cement Block,,No,Schooling up to Grade 6 - 9,Unskilled Worker,SEC E,40000.0,Non smart meter
ID3408,1,PANADURA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,660.0,7,,,No,,,,Cabook,,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,50000.0,Smart meter
ID3409,1,PANADURA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,900.0,2,,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,Unskilled Worker,SEC D,25000.0,Smart meter
ID3410,1,PANADURA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,750.0,1,,,No,,,,Cement Block,,No,Primary Education,Agricultural labourer / Worker,SEC E,15000.0,Smart meter
ID3411,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,4000.0,2,,,No,,,,Brick,,No,Graduate / Post-Grads / Degree level professional qualification,1-9 Employed,SEC A,200000.0,Non smart meter
ID3412,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,1000.0,2,,,No,,,,Cement Block,,No,Diploma with O/L or A/L (Non graduate),Small Businessman / Self employed (Non professional),SEC C,60000.0,Non smart meter
ID3413,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1200.0,6,,,No,,,,Brick,,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Junior executive / Executive,SEC A,150000.0,Non smart meter
ID3414,1,NUGEGODA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,750.0,3,,You pay the full amount of the electricity bill.,No,,,,Cement Block,,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,250000.0,Smart meter
ID3415,1,KOTIKAWATTA,"No, I am living on rent and the rent is paid by me or a household member.",,,2010-2019,Single House - Double Floor,,,2750.0,4,,You pay the full amount of the electricity bill.,No,,,,Cement Block,,No,Diploma with O/L or A/L (Non graduate),Manager / Professional,SEC A,100000.0,Smart meter
ID3416,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,3000.0,3,,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,Manager / Professional,SEC B,55000.0,Smart meter
ID3417,1,ALUTHGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,1064.0,3,,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,35000.0,Non smart meter
ID3418,1,KOTIKAWATTA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1500.0,4,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Self employed (Professional) - No employees,SEC B,100000.0,Smart meter
ID3419,2,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,3000.0,6,,,No,,,,Brick,,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Self employed (Professional) - No employees,SEC A,200000.0,Smart meter
ID3420,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,3000.0,5,,,No,,,,Brick,,No,Diploma with O/L or A/L (Non graduate),Middle and Senior executive,SEC A,90000.0,Smart meter
ID3421,1,DALUGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,3000.0,6,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,50000.0,Non smart meter
ID3422,1,KOLONNAWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,1000.0,4,,,No,,,,Cement Block,,Yes,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Small Businessman / Self employed (Non professional),SEC B,90000.0,Non smart meter
ID3423,1,ALUTHGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,1380.0,5,,,No,,,,Cement Block,,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,75000.0,Non smart meter
ID3424,1,DALUGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,2722.0,5,,,No,,,,Brick,,Yes,O/L or A/L pending / Passed,Skilled Worker,SEC C,40000.0,Non smart meter
ID3425,1,WATTALA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,1623.0,5,,,No,,,,Cement Block,,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,25000.0,Non smart meter
ID3426,1,KOLONNAWA,"No, I am living on rent and the rent is paid by me or a household member.",,,1990-1999,Single House - Single Floor,,,900.0,5,,You pay the full amount of the electricity bill.,No,,,,Cement Block,,No,Diploma with O/L or A/L (Non graduate),Skilled Worker,SEC C,80000.0,Non smart meter
ID3427,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,2400.0,5,,,No,,,,Cement Block,,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,20000.0,Smart meter
ID3428,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,1775.0,2,,,No,,,,Brick,,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,50000.0,Smart meter
ID3429,1,MORATUWA NORTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1300.0,8,,,No,,,,Cabook,,No,O/L or A/L pending / Passed,Supervisor grades,SEC C,100000.0,Non smart meter
